"Product_Name","Variant_Size","Price_INR","Available","Category"
"Ajwa Dates","1kg","1780.00","True",""
"Ajwa Dates","250g","445.00","True",""
"Ajwa Dates","500g","890.00","True",""
"Ajwain (Ayamodakam)","1kg","560.00","True",""
"Ajwain (Ayamodakam)","250g","140.00","True",""
"Ajwain (Ayamodakam)","500g","280.00","True",""
"Almond Nut Butter","250g / Honey","517.00","True",""
"Almond Nut Butter","250g / Jaggery","507.00","True",""
"Almond Nut Butter","250g / Unsweetened","487.00","True",""
"Almonds Jumbo","1kg","1790.00","True",""
"Almonds Jumbo","250g","447.50","True",""
"Almonds Jumbo","500g","895.00","True",""
"Almonds USA","1kg","1650.00","True",""
"Almonds USA","250g","412.50","True",""
"Almonds USA","500g","825.00","True",""
"Alovi Seeds (Halim Seeds)","1kg","550.00","True",""
"Alovi Seeds (Halim Seeds)","250g","137.50","True",""
"Alovi Seeds (Halim Seeds)","500g","275.00","True",""
"Amaranth (Rajgira)","1kg","350.00","True",""
"Amaranth (Rajgira)","250g","87.50","True",""
"Amaranth (Rajgira)","500g","175.00","True",""
"Amaranth Noodles","1kg","650.00","True",""
"Amaranth Noodles","250g","162.50","True",""
"Amaranth Noodles","500g","325.00","True",""
"Amla Dry Candy","1kg","410.00","True",""
"Amla Dry Candy","250g","102.50","True",""
"Amla Dry Candy","500g","205.00","True",""
"Amla Powder","100g","201.00","True",""
"Amla Powder","1kg","2010.00","True",""
"Amla Powder","250g","502.50","True",""
"Amla Powder","500g","1005.00","True",""
"Appam Idiyappam Podi","1kg","140.00","True",""
"Appam Idiyappam Podi","250g","35.00","True",""
"Appam Idiyappam Podi","500g","70.00","True",""
"Apricot Soft","1kg","1988.00","True",""
"Apricot Soft","250g","497.00","True",""
"Apricot Soft","500g","994.00","True",""
"Arabica Coffee Bean","1kg","1800.00","True",""
"Arabica Coffee Bean","250g","450.00","True",""
"Arabica Coffee Bean","500g","900.00","True",""
"Arabica Coffee Beans (organic)","1kg","2100.00","True",""
"Arabica Coffee Beans (organic)","250g","525.00","True",""
"Arabica Coffee Beans (organic)","500g","1050.00","True",""
"Arabica Coffee Powder","1kg","1800.00","True",""
"Arabica Coffee Powder","250g","450.00","True",""
"Arabica Coffee Powder","500g","900.00","True",""
"Ashwagandha","100g","225.00","True",""
"Ashwagandha","1kg","2250.00","True",""
"Ashwagandha","250g","562.50","True",""
"Ashwagandha","500g","1125.00","True",""
"Assam Tea","1kg","720.00","True",""
"Assam Tea","250g","180.00","True",""
"Assam Tea","500g","360.00","True",""
"Avalose Podi","1kg","480.00","True",""
"Avalose Podi","250g","120.00","True",""
"Avalose Podi","500g","240.00","True",""
"Baby Fork","Default Title","90.00","True",""
"Baby Spoon","Default Title","90.00","True",""
"Bamboo Toothbrush","Default Title","55.00","True",""
"Banana Dried (Kannan Kaya)","1kg","1000.00","True",""
"Banana Dried (Kannan Kaya)","250g","250.00","True",""
"Banana Dried (Kannan Kaya)","500g","500.00","True",""
"Barley","1kg","160.00","True",""
"Barley","250g","40.00","True",""
"Barley","500g","80.00","True",""
"Barnyard Millet (Oodalu)","1kg","240.00","True",""
"Barnyard Millet (Oodalu)","250g","60.00","True",""
"Barnyard Millet (Oodalu)","500g","120.00","True",""
"Barnyard Millet (Oodalu) Rava","1kg","350.00","True",""
"Barnyard Millet (Oodalu) Rava","250g","87.50","True",""
"Barnyard Millet (Oodalu) Rava","500g","175.00","True",""
"Barnyard Millet Cookies","1kg","520.00","True",""
"Barnyard Millet Cookies","250g","130.00","True",""
"Barnyard Millet Cookies","500g","260.00","True",""
"Basil Seeds (Sabja)","1kg","650.00","True",""
"Basil Seeds (Sabja)","250g","162.50","True",""
"Basil Seeds (Sabja)","500g","325.00","True",""
"Bay Leaves / Tej Patta","1kg","700.00","True",""
"Bay Leaves / Tej Patta","250g","175.00","True",""
"Bay Leaves / Tej Patta","500g","350.00","True",""
"Beetroot Powder","100g","145.00","True",""
"Beetroot Powder","1kg","1450.00","True",""
"Beetroot Powder","250g","362.50","True",""
"Beetroot Powder","500g","725.00","True",""
"Bengal Gram Dal (Besan)","1kg","160.00","True",""
"Bengal Gram Dal (Besan)","250g","40.00","True",""
"Bengal Gram Dal (Besan)","500g","80.00","True",""
"Bhringraj Powder","100G","99.00","True",""
"Bhringraj Powder","1kg","990.00","True",""
"Bhringraj Powder","250g","247.50","True",""
"Bhringraj Powder","500g","495.00","True",""
"Black Cardamom (Black Elaichi)","1kg","3380.00","True",""
"Black Cardamom (Black Elaichi)","250g","845.00","True",""
"Black Cardamom (Black Elaichi)","500g","1690.00","True",""
"Black Chana","1kg","160.00","True",""
"Black Chana","250g","40.00","True",""
"Black Chana","500g","80.00","True",""
"Black Chickpea Powder (Kadala Podi)","1kg","360.00","True",""
"Black Chickpea Powder (Kadala Podi)","250g","90.00","True",""
"Black Chickpea Powder (Kadala Podi)","500g","180.00","True",""
"Black Salt","1kg","100.00","True",""
"Black Salt","250g","25.00","True",""
"Black Salt","500g","50.00","True",""
"Black Seedless Raisins","1kg","890.00","True",""
"Black Seedless Raisins","250g","222.50","True",""
"Black Seedless Raisins","500g","445.00","True",""
"Black Sesame Chikki","1kg","680.00","True",""
"Black Sesame Chikki","250g","170.00","True",""
"Black Sesame Chikki","500g","340.00","True",""
"Brahmi Honey","250g","435.00","True",""
"Brahmi Honey","400g","670.00","True",""
"Brazil Nuts","1kg","4550.00","True",""
"Brazil Nuts","250g","1137.50","True",""
"Brazil Nuts","500g","2275.00","True",""
"Browntop Millet (Korale)","1kg","300.00","True",""
"Browntop Millet (Korale)","250g","75.00","True",""
"Browntop Millet (Korale)","500g","150.00","True",""
"Cardamom Bold","100g - Masala","495.00","True",""
"Cardamom Bold","150g - Masala","742.50","True",""
"Cardamom Bold","1kg","4950.00","True",""
"Cardamom Bold","200g - Masala","990.00","True",""
"Cardamom Bold","250g","1237.50","True",""
"Cardamom Bold","250g - Masala","1237.50","True",""
"Cardamom Bold","500g","2475.00","True",""
"Cardamom Bold","50g - Masala","247.50","True",""
"Cardamom Bulk","1kg","2900.00","True",""
"Cardamom Bulk","250g","725.00","True",""
"Cardamom Bulk","500g","1450.00","True",""
"Cashew - Broken Pieces","1kg","1320.00","True",""
"Cashew - Broken Pieces","250g","330.00","True",""
"Cashew - Broken Pieces","500g","660.00","True",""
"Cashew - Pepper Garlic","1kg","1740.00","True",""
"Cashew - Pepper Garlic","250g","435.00","True",""
"Cashew - Pepper Garlic","500g","870.00","True",""
"Cashew - Roasted And Salted","1kg","1690.00","True",""
"Cashew - Roasted And Salted","250g","422.50","True",""
"Cashew - Roasted And Salted","500g","845.00","True",""
"Cashew - Split","1kg","1460.00","True",""
"Cashew - Split","250g","365.00","True",""
"Cashew - Split","500g","730.00","True",""
"Cashew 180","1kg","1750.00","True",""
"Cashew 180","250g","437.50","True",""
